Using device: cuda

============================================================
  Training on PERSUADE, Testing on PERSUADE
============================================================
  Train: 14035 | Dev: 1559 | Test: 10402
  Tokenizing 14035 essays...
  Tokenization complete.
  Tokenizing 1559 essays...
  Tokenization complete.
  Tokenizing 10402 essays...
  Tokenization complete.
  Batch 2500/3509 | Loss: 0.2398
  Batch 2600/3509 | Loss: 0.2331
  Batch 2700/3509 | Loss: 0.2637
  Batch 2800/3509 | Loss: 0.0783
  Batch 2900/3509 | Loss: 0.2219
  Batch 3000/3509 | Loss: 0.1418
  Batch 3100/3509 | Loss: 0.1535
  Batch 3200/3509 | Loss: 0.0811
  Batch 3300/3509 | Loss: 0.4669
  Batch 3400/3509 | Loss: 0.3021
  Batch 3500/3509 | Loss: 0.3715
Epoch 04 | Train Loss: 823.4677 | Dev Loss: 145.7071 | Dev QWK: 0.8294
Early stopping at epoch 4.

--- PERSUADE Test Results ---
  MSE:             781.9488
  QWK:             0.8509
  Exact Agreement: 0.6586
