Category,Reference Group,Focal Group,Num_Prompts,Mean_Abs_Z_Base,Var_Z_Base,Mean_Abs_Z_Debiased,Var_Z_Debiased,Mean_QWK_Base,Mean_QWK_Debiased
economically_disadvantaged,Economically disadvantaged,Not economically disadvantaged,1,5.169,,6.765,,0.803,0.794
ell_status,No,Yes,1,3.227,,7.284,,0.755,0.75
gender,F,M,1,3.09,,2.434,,0.801,0.785
race_ethnicity,Two or more races/Other,American Indian/Alaskan Native,1,0.618,,1.312,,0.829,0.835
race_ethnicity,Two or more races/Other,Asian/Pacific Islander,1,3.711,,2.608,,0.856,0.855
race_ethnicity,Two or more races/Other,Black/African American,1,0.177,,0.998,,0.752,0.741
race_ethnicity,Two or more races/Other,Hispanic/Latino,1,2.288,,0.144,,0.791,0.781
race_ethnicity,Two or more races/Other,White,1,1.844,,1.048,,0.791,0.777
student_disability_status,Not identified as having disability,Identified as having disability,1,7.937,,11.79,,0.731,0.702
