Using device: cuda

============================================================
  Dataset: ASAP
  Debiasing: GRL (target=gender)
============================================================
  Demo encoding (gender): {'M': 0, 'F': 1}
  Train: 15560 | Dev: 1729 | Test: 7411
  Tokenizing 15560 essays...
  Tokenization complete.
  Tokenizing 1729 essays...
  Tokenization complete.
  Tokenizing 7411 essays...
  Tokenization complete.
  Batch 1500/3890 | Loss: 0.1339
  Batch 1600/3890 | Loss: 0.1523
  Batch 1700/3890 | Loss: 0.0961
  Batch 1800/3890 | Loss: 0.0103
  Batch 1900/3890 | Loss: 0.6954
  Batch 2000/3890 | Loss: 0.0412
  Batch 2100/3890 | Loss: 0.2332
  Batch 2200/3890 | Loss: 0.1992
  Batch 2300/3890 | Loss: 0.2373
  Batch 2400/3890 | Loss: 0.4271
  Batch 2500/3890 | Loss: 0.1959
  Batch 2600/3890 | Loss: 0.4550
  Batch 2700/3890 | Loss: 0.2656
  Batch 2800/3890 | Loss: 0.1251
  Batch 2900/3890 | Loss: 0.5157
  Batch 3000/3890 | Loss: 0.1334
  Batch 3100/3890 | Loss: 0.3501
  Batch 3200/3890 | Loss: 0.6825
  Batch 3300/3890 | Loss: 0.2879
  Batch 3400/3890 | Loss: 0.0826
  Batch 3500/3890 | Loss: 0.2296
  Batch 3600/3890 | Loss: 0.1560
  Batch 3700/3890 | Loss: 0.0466
  Batch 3800/3890 | Loss: 0.1972
Epoch 04 | Train Loss: 989.1251 | Dev Loss: 146.9502 | Dev QWK: 0.8050
Early stopping at epoch 4.

--- ASAP Test Results ---
  MSE:             591.0181
  QWK:             0.7815
  Exact Agreement: 0.6457
  SMD:             0.1246
