Category,Reference Group,Focal Group,Z-Score (Bias),Raw P-Value,Adjusted P-Value,Statistically Significant
gender,M,F,2.22,0.02642139075075769,0.0476,True
race_ethnicity,Black/African American,White,1.833,0.06676252888418054,0.1001,False
race_ethnicity,Black/African American,Hispanic/Latino,-1.112,0.266182191702781,0.3422,False
race_ethnicity,Black/African American,Two or more races/Other,0.813,0.4161518809910255,0.4682,False
race_ethnicity,Black/African American,Asian/Pacific Islander,5.273,1.340053360924495e-07,0.0,True
race_ethnicity,Black/African American,American Indian/Alaskan Native,0.693,0.4881205670966544,0.4881,False
ell_status,No,Yes,-5.958,2.5565113560219426e-09,0.0,True
ell_status,No, ,-3.264,0.00109662098124712,0.0033,True
student_disability_status,Not identified as having disability,Identified as having disability,-2.529,0.011446669322829103,0.0258,True
